date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2026-01-24,4,0.5,3,4.5,,,,,,,,1.5,,,,,FALSE,FALSE,FALSE,,fba515f1418c4mig
2026-01-25,2.5,,,3,,,,,,,,,,,,,FALSE,FALSE,TRUE,,f03ba2ee067a4mig
2026-01-26,2,0,4,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,1f17d975f6014mig
2026-01-27,5.75,0.5,3.25,8,,,,,,,,,,,,,FALSE,FALSE,FALSE,,40e71f0ed7fa4mig
2026-01-28,5.5,0.2,2.5,6.75,,,,,0.5,0.25,,,,,,,FALSE,FALSE,FALSE,,2887f09762c54mig
2026-01-29,7.5,1,2,8.75,,,90,66,4,1,,4,,,,,TRUE,TRUE,FALSE,,e2cf98dc26f34mig
2026-01-30,5.5,0.5,1,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,195d4adec3ce4mig
2026-01-31,1.5,0.1,1.5,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,5f666d5fa3494mig
2026-02-01,2.5,0,3,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,3c83bf79194d4mig
2026-02-02,4.5,1.5,1,4.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2913f3f824ae4mig
2026-02-03,5.3,2.8,1,3.5,,,,,2,0.8,,,,,,,FALSE,FALSE,FALSE,,955555c09d334mig
2026-02-04,4.25,2.2,0,2.1,,,,,,,,,,,,,TRUE,FALSE,FALSE,,03fb75d0af4f4mig
2026-02-05,3,2.5,4.5,7,,,,,6,,,,,,,,FALSE,FALSE,FALSE,,9ef912a4ba974mig
2026-02-06,6.5,2.5,4,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,397a4b92f4a84mig
2026-02-07,5,1.75,2,3.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,4613b18881cf4mig
2026-02-08,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,8e5fbbeae7e04mig
2026-02-09,8,2.25,1,4.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,78854d98da8f4mig
2026-02-10,7.75,2.5,1,3.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,99d588093a764mig
2026-02-11,6.25,1.6,0,5.75,,,,,,,,3,,,,,FALSE,FALSE,TRUE,,08cef6c3370f4mig
2026-02-12,8,2.5,2.25,4.25,,,30kg,15kg,3.5,1,,0.25,,,,,FALSE,FALSE,FALSE,,09011fb9760b4mig
2026-02-13,6.5,1,1,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,c809fedff1ce4mig
2026-02-14,3.5,0.25,0.5,1.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,bd94ae8036d84mig
2026-02-15,3,3,,1,,,,,,,,,,,,,FALSE,FALSE,FALSE,,feb578d808e04mig
2026-02-16,2,0.4,,1.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,968ba6b5da2f4mig
2026-02-17,3,1,2,2.75,,,,,2,1,,,,,,,FALSE,FALSE,FALSE,,0fa70a6184c34mig
2026-02-18,4.5,1.9,1,1.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,75006746fa3c4mig
2026-02-19,3.15,1.5,4.15,3,,,50,30,,,,3.1,,,,,FALSE,FALSE,FALSE,,6200158335ea4mig
2026-02-20,7,2.5,4,4,,,,,4,1,,2.25,,,,,FALSE,FALSE,FALSE,,daddfaae08754mig
2026-02-21,4.5,1.75,3.5,4,,,,,,,,2,,,,,FALSE,FALSE,FALSE,,05d35d3756184mig
2026-02-22,2.9,2,1.25,2.75,,,,,,,,1,,,,,FALSE,FALSE,FALSE,,8e827bc6f8864mig
2026-02-23,7,3.25,2,3,,,50,30,5,2,,1,,,,,FALSE,FALSE,FALSE,,c1c5e4f0f13b4mig
2026-02-24,5,2.9,1,2.75,,,,,,,,1.5,,,,,FALSE,FALSE,FALSE,,a55bf190a48a4mig
2026-02-25,3,2.25,3,7.25,,,,,,,,6.25,,,,,FALSE,FALSE,FALSE,,706d52205e864mig
2026-02-26,8,4,3,6.75,,,75,60,6.25,2,,,,,,,FALSE,TRUE,FALSE,,f6610e12e22f4mig
2026-02-27,6.75,4,2,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,02f47b7df14d4mig
2026-02-28,5,3,1,2.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,70e02f59954c4mig
2026-03-01,4,3.25,4.25,4.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,50282218b1774mig
2026-03-02,8,4.5,4,3,,,50,3,5,2,,,,,,,FALSE,FALSE,FALSE,,abfc2ca51f644mig
2026-03-03,7,4.25,3.5,5.5,,,,,,,,4,,,,,FALSE,FALSE,FALSE,,e8d580356eac4mig
2026-03-04,7.1,4,3,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,56f8e10c40fb4mig
2026-03-05,9.25,4.5,2,5.5,,,50,30,4,1.25,3,3,,,,,FALSE,FALSE,FALSE,,d1ee66ab07904mig
2026-03-06,8,3.25,5.5,3.5,,,,,,,,,,,,,TRUE,FALSE,FALSE,,9e5a661caba64mig
